name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
African Collared-Dove,Open Woodland,Seeds,Tree,Ground Forager,Least Concern,26-27,27, 45-50,50,130-166,148.0,2,2,2,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
White-crowned Pigeon,Forest,Fruit,Tree,Foliage Gleaner,Near Threatened,33-35,35, 59, 59,220-280,250.0,1-3,1,3,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
Eurasian Collared-Dove,Town,Seeds,Tree,Ground Forager,Least Concern,29-30,30, 35, 35,140-180,160.0,1-2,1,2, 3-6 ,6 ,2.7-3.1,3.1,2.1-2.4,2.4,14-19,19,14,17,17,17, COLUMBIFORMES, COLUMBIDAE
Rock Pigeon,Town,Seeds,Building,Ground Forager,Least Concern,30-36,36, 50-67,67,265-380,322.5,1-3,1,3, 1-6 ,6 ,,,,,18,18,18,25-32,25,32, COLUMBIFORMES, COLUMBIDAE
Band-tailed Pigeon,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,33-40,40,,,342-364,353.0,1-2,1,2, 1-3 ,3 ,3.7-4.4,4.4,2.6-3.1,3.1,16-22,22,16,15-29,15,29, COLUMBIFORMES, COLUMBIDAE
Brown Creeper,Forest,Insects,Tree,Bark Forager,Least Concern,12-14,14, 17-20,20,5-10,7.5,5-6,5,6, 1 , 1 ,1.5-1.6,1.6,1.2,1.2,13-17,17,13,14-20,14,20, PASSERIFORMES, CERTHIIDAE
Belted Kingfisher,Lake/Pond,Fish,Burrow,Aerial Dive,Least Concern,28-35,35, 48-58,58,140-170,155.0,5-8,5,8, 1-2 ,2 ,3-3.7,3.7,2.5-2.9,2.9,22-24,24,22,27-29,27,29, CORACIIFORMES, ALCEDINIDAE
Brown-headed Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,10-11,11, 16-18,18,10,10,3-9,3,9,,,,,,,,,,,,, PASSERIFORMES, SITTIDAE
White-breasted Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,13-14,14, 20-27,27,18-30,24.0,5-9,5,9, 1 , 1 ,1.8-2,2,1.5,1.5,13-14,14,13,26,26,26, PASSERIFORMES, SITTIDAE
Pygmy Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,9-11,11,,,9-11,10.0,5-9,5,9, 1-2 ,2 ,1.4-1.7,1.7,1.1-1.3,1.3,12-17,17,12,14-22,14,22, PASSERIFORMES, SITTIDAE
Red-breasted Nuthatch,Forest,Insects,Cavity,Bark Forager,Least Concern,11,11, 18-20,20,8-13,10.5,2-8,2,8, 1 , 1 ,1.5-1.7,1.7,1.1-1.3,1.3,12-13,13,12,18-21,18,21, PASSERIFORMES, SITTIDAE
Eastern Wood-Pewee,Forest,Insects,Tree,Flycatching,Least Concern,15,15, 23-26,26,10-19,14.5,2-4,2,4, 1 , 1 ,1.7-2.1,2.1,1.3-1.4,1.4,12-14,14,12,16-18,16,18, PASSERIFORMES, TYRANNIDAE
Say's Phoebe,Grassland,Insects,Building,Flycatching,Least Concern,17,17,,,21-22,21.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Couch's Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,20-24,24,,,40,40,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Vermilion Flycatcher,Open Woodland,Insects,Tree,Flycatching,Least Concern,13-14,14,,,11-14,12.5,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Dusky Flycatcher,Open Woodland,Insects,Shrub,Flycatching,Least Concern,13-15,15, 20-23,23,9-11,10.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Elegant Trogon,Forest,Insects,Cavity,Flycatching,Least Concern,,,,,,,2-4,2,4, 1 , 1 ,2.7-3.1,3.1,2.2-3.1,3.1,17-21,21,17,34-40,34,40, TROGONIFORMES, TROGONIDAE
Gray Flycatcher,Open Woodland,Insects,Shrub,Flycatching,Least Concern,14-15,15, 22, 22,11-14,12.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Western Wood-Pewee,Open Woodland,Insects,Tree,Flycatching,Least Concern,14-16,16, 26, 26,11-14,12.5,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Greater Pewee,Open Woodland,Insects,Tree,Flycatching,Least Concern,18,18,,,27,27,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Hammond's Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,12-14,14, 22, 22,8-12,10.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Ash-throated Flycatcher,Open Woodland,Insects,Cavity,Hovering,Least Concern,19-21,21, 30-32,32,21-38,29.5,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Eastern Kingbird,Grassland,Insects,Tree,Flycatching,Least Concern,19-23,23, 33-38,38,33-55,44.0,2-5,2,5, 1 , 1 ,2.1-2.7,2.7,1.6-2,2,14-17,17,14,16-17,16,17, PASSERIFORMES, TYRANNIDAE
Phainopepla,Scrub,Fruit,Tree,Foliage Gleaner,Least Concern,18-21,21, 29, 29,18-28,23.0,2-4,2,4,,,,,,,,,,,,, PASSERIFORMES, PTILOGONATIDAE
Great Crested Flycatcher,Open Woodland,Insects,Cavity,Flycatching,Least Concern,17-21,21, 34, 34,27-40,33.5,4-8,4,8, 1 , 1 ,2.1-2.4,2.4,1.5-1.8,1.8,13-15,15,13,13-15,13,15, PASSERIFORMES, TYRANNIDAE
Buff-breasted Flycatcher,Open Woodland,Insects,Tree,Flycatching,Least Concern,13,13,,,6-9,7.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Cordilleran Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,14-17,17, 22, 22,11-13,12.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Willow Flycatcher,Marsh,Insects,Shrub,Flycatching,Least Concern,13-17,17, 19-24,24,11-16,13.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Tropical Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,18-23,23,,,32-43,37.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Yellow-bellied Flycatcher,Forest,Insects,Ground,Flycatching,Least Concern,13-15,15, 18-20,20,9-16,12.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Acadian Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,,,,,,,1-4,1,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Pacific-slope Flycatcher,Forest,Insects,Cavity,Flycatching,Least Concern,14-17,17, 20-23,23,8-12,10.0,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Cassin's Kingbird,Open Woodland,Insects,Tree,Flycatching,Least Concern,21-23,23,,,45,45,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Bohemian Waxwing,Forest,Insects,Tree,Foliage Gleaner,Least Concern,16-19,19, 33, 33,45-69,57.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, BOMBYCILLIDAE
Olive-sided Flycatcher,Open Woodland,Insects,Tree,Flycatching,Near Threatened,18-20,20,,,32-37,34.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Least Flycatcher,Forest,Insects,Tree,Flycatching,Least Concern,12-14,14, 20, 20,8-13,10.5,,,,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
