name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Pinyon Jay,53,Open Woodland,Omnivore,Tree,Vulnerable,46,27.5,105, PASSERIFORMES, CORVIDAE
Piping Plover,8,Shore-line,Insects,Ground,Near Threatened,38,17.5,53, CHARADRIIFORMES, CHARADRIIDAE
Plain Chachalaca,41,Forest,Fruit,Tree,Least Concern,66,55,492.5, GALLIFORMES, CRACIDAE
Plumbeous Vireo,63,Forest,Insects,Tree,Least Concern,25,13,16, PASSERIFORMES, VIREONIDAE
Prairie Falcon,3,Grassland,Birds,Cliff,Least Concern,101.5,42,760, FALCONIFORMES, FALCONIDAE
Prairie Warbler,76,Open Woodland,Insects,Shrub,Least Concern,18,11,7.5, PASSERIFORMES, PARULIDAE
Purple Finch,157,Forest,Seeds,Tree,Least Concern,24,14,25, PASSERIFORMES, FRINGILLIDAE
Purple Gallinule,73,Marsh,Omnivore,Floating,Least Concern,55,36.5,248, GRUIFORMES, RALLIDAE
Purple Martin,62,Lake/Pond,Insects,Cavity,Least Concern,40,19.5,52.5, PASSERIFORMES, HIRUNDINIDAE
Purple Sandpiper,21,Shore-line,Insects,Ground,Least Concern,44,21,77.5, CHARADRIIFORMES, SCOLOPACIDAE
Pygmy Nuthatch,59,Forest,Insects,Cavity,Least Concern,20,10,10, PASSERIFORMES, SITTIDAE
Pyrrhuloxia,28,Scrub,Seeds,Shrub,Least Concern,31,21,33.5, PASSERIFORMES, CARDINALIDAE
Razorbill,2,Ocean,Fish,Cliff,Least Concern,65.5,43,697.5, CHARADRIIFORMES, ALCIDAE
Red-bellied Woodpecker,100,Forest,Insects,Cavity,Least Concern,37.5,24,73.5, PICIFORMES, PICIDAE
Red-breasted Merganser,14,Lake/Pond,Fish,Ground,Least Concern,70,57.5,1075, ANSERIFORMES, ANATIDAE
Red-breasted Nuthatch,91,Forest,Insects,Cavity,Least Concern,19,11,10.5, PASSERIFORMES, SITTIDAE
Red-breasted Sapsucker,30,Forest,Insects,Cavity,Least Concern,38.5,21,53.5, PICIFORMES, PICIDAE
Red-cockaded Woodpecker,33,Open Woodland,Insects,Cavity,Vulnerable,36,21.5,47, PICIFORMES, PICIDAE
Reddish Egret,6,Marsh,Fish,Tree,Near Threatened,117,75,775, PELECANIFORMES, ARDEIDAE
Red-eyed Vireo,263,Forest,Insects,Tree,Least Concern,24,12.5,19, PASSERIFORMES, VIREONIDAE
Red-faced Warbler,23,Forest,Insects,Ground,Least Concern,21,14,9.5, PASSERIFORMES, PARULIDAE
Red-footed Booby,36,Ocean,Fish,Shrub,Least Concern,152,74,975, SULIFORMES, SULIDAE
Redhead,13,Lake/Pond,Plants,Floating,Least Concern,77,48,1065, ANSERIFORMES, ANATIDAE
Red-headed Woodpecker,41,Open Woodland,Omnivore,Cavity,Near Threatened,42,21,73.5, PICIFORMES, PICIDAE
Red Knot,19,Shore-line,Insects,Ground,Least Concern,54,24,135, CHARADRIIFORMES, SCOLOPACIDAE
Red-naped Sapsucker,23,Forest,Insects,Cavity,Least Concern,41,20,49, PICIFORMES, PICIDAE
Red-necked Grebe,46,Lake/Pond,Fish,Floating,Least Concern,74.5,49.5,1200, PODICIPEDIFORMES, PODICIPEDIDAE
Red-shouldered Hawk,46,Forest,Mammals,Tree,Least Concern,102.5,52,630, ACCIPITRIFORMES, ACCIPITRIDAE
Red-tailed Hawk,59,Open Woodland,Small_Animals,Tree,Least Concern,57.5,50.5,995, ACCIPITRIFORMES, ACCIPITRIDAE
Red-throated Loon,61,Lake/Pond,Fish,Ground,Least Concern,110,61,1850, GAVIIFORMES, GAVIIDAE
Red-winged Blackbird,328,Marsh,Insects,Shrub,Least Concern,35.5,20,54.5, PASSERIFORMES, ICTERIDAE
Rhinoceros Auklet,0,Ocean,Fish,Burrow,Least Concern,60.5,28.5,485, CHARADRIIFORMES, ALCIDAE
Ring-billed Gull,58,Lake/Pond,Omnivore,Ground,Least Concern,111,48.5,500, CHARADRIIFORMES, LARIDAE
Ring-necked Duck,24,Lake/Pond,Plants,Ground,Least Concern,62.5,42.5,700, ANSERIFORMES, ANATIDAE
Ring-necked Pheasant,0,Grassland,Omnivore,Ground,Least Concern,71,60,1750, GALLIFORMES, PHASIANIDAE
Rock Pigeon,0,Town,Seeds,Building,Least Concern,58.5,33,322.5, COLUMBIFORMES, COLUMBIDAE
Rock Ptarmigan,19,Mountains,Plants,Ground,Least Concern,58,36,540, GALLIFORMES, PHASIANIDAE
Rock Sandpiper,20,Shore-line,Insects,Ground,Least Concern,39,21,93.5, CHARADRIIFORMES, SCOLOPACIDAE
Rock Wren,57,Mountains,Insects,Ground,Least Concern,23,13.5,16.5, PASSERIFORMES, TROGLODYTIDAE
Roseate Spoonbill,14,Marsh,Fish,Tree,Least Concern,125,78.5,1500, PELECANIFORMES, THRESKIORNITHIDAE
Roseate Tern,67,Shore-line,Fish,Ground,Least Concern,73,37,115, CHARADRIIFORMES, LARIDAE
Rose-breasted Grosbeak,95,Forest,Insects,Tree,Least Concern,31,19.5,44, PASSERIFORMES, CARDINALIDAE
Ross's Goose,4,Lake/Pond,Plants,Ground,Least Concern,114,60.5,1450, ANSERIFORMES, ANATIDAE
Ross's Gull,0,Marsh,Insects,Ground,Least Concern,95,30,195, CHARADRIIFORMES, LARIDAE
Rough-legged Hawk,0,Grassland,Mammals,Cliff,Least Concern,135,49.5,1057.5, ACCIPITRIFORMES, ACCIPITRIDAE
Royal Tern,37,Shore-line,Fish,Ground,Least Concern,130,47.5,400, CHARADRIIFORMES, LARIDAE
Ruby-crowned Kinglet,184,Forest,Insects,Tree,Least Concern,17,10,7.5, PASSERIFORMES, REGULIDAE
Ruby-throated Hummingbird,23,Open Woodland,Nectar,Tree,Least Concern,9.5,8,4, APODIFORMES, TROCHILIDAE
Ruddy Duck,17,Marsh,Insects,Ground,Least Concern,59,39,575, ANSERIFORMES, ANATIDAE
Ruddy Turnstone,57,Shore-line,Insects,Ground,Least Concern,53.5,18.5,137, CHARADRIIFORMES, SCOLOPACIDAE
Ruffed Grouse,18,Forest,Omnivore,Ground,Least Concern,57,45,600, GALLIFORMES, PHASIANIDAE
Rufous-crowned Sparrow,77,Scrub,Seeds,Ground,Least Concern,21,15.5,18.5, PASSERIFORMES, EMBERIZIDAE
Rufous Hummingbird,50,Open Woodland,Nectar,Tree,Least Concern,11,8,3.5, APODIFORMES, TROCHILIDAE
Rufous-winged Sparrow,49,Scrub,Insects,Shrub,Least Concern,21,13.5,15, PASSERIFORMES, EMBERIZIDAE
Rusty Blackbird,50,Forest,Insects,Tree,Vulnerable,37,23,63.5, PASSERIFORMES, ICTERIDAE
Sabine's Gull,10,Ocean,Insects,Ground,Least Concern,84,34,184, CHARADRIIFORMES, LARIDAE
Sagebrush Sparrow,18,Scrub,Insects,Shrub,Least Concern,21,13.5,18.5, PASSERIFORMES, EMBERIZIDAE
Sage Thrasher,21,Scrub,Insects,Shrub,Least Concern,32,21.5,45, PASSERIFORMES, MIMIDAE
Saltmarsh Sparrow,6,Marsh,Insects,Ground,Vulnerable,19,12,16.5, PASSERIFORMES, EMBERIZIDAE
Sanderling,34,Shore-line,Insects,Ground,Least Concern,35,19,70, CHARADRIIFORMES, SCOLOPACIDAE
Sandhill Crane,62,Marsh,Omnivore,Ground,Least Concern,200,120,4150, GRUIFORMES, GRUIDAE
Sandwich Tern,37,Shore-line,Fish,Ground,Least Concern,87,39.5,240, CHARADRIIFORMES, LARIDAE
Savannah Sparrow,123,Grassland,Insects,Ground,Least Concern,21,13,21.5, PASSERIFORMES, EMBERIZIDAE
Say's Phoebe,38,Grassland,Insects,Building,Least Concern,30,17,21.5, PASSERIFORMES, TYRANNIDAE
Scaled Quail,15,Grassland,Seeds,Ground,Least Concern,38,30,184, GALLIFORMES, ODONTOPHORIDAE
Scarlet Tanager,95,Forest,Insects,Tree,Least Concern,27,16.5,30.5, PASSERIFORMES, CARDINALIDAE
Scissor-tailed Flycatcher,18,Grassland,Insects,Tree,Least Concern,36,29.5,46, PASSERIFORMES, TYRANNIDAE
Scott's Oriole,36,Open Woodland,Insects,Tree,Least Concern,32,23,36.5, PASSERIFORMES, ICTERIDAE
Seaside Sparrow,39,Marsh,Insects,Shrub,Least Concern,19,14,24, PASSERIFORMES, EMBERIZIDAE
Sedge Wren,259,Marsh,Insects,Shrub,Least Concern,14,11,9, PASSERIFORMES, TROGLODYTIDAE
Semipalmated Plover,54,Shore-line,Insects,Ground,Least Concern,48,18,47, CHARADRIIFORMES, CHARADRIIDAE
Semipalmated Sandpiper,39,Shore-line,Insects,Ground,Near Threatened,29.5,14,26.5, CHARADRIIFORMES, SCOLOPACIDAE
Sharp-shinned Hawk,10,Forest,Birds,Tree,Least Concern,49.5,29,152.5, ACCIPITRIFORMES, ACCIPITRIDAE
Sharp-tailed Grouse,21,Grassland,Plants,Ground,Least Concern,63,44,813.5, GALLIFORMES, PHASIANIDAE
Shiny Cowbird,98,Grassland,Insects,Tree,Least Concern,29,18,35.5, PASSERIFORMES, ICTERIDAE
Short-billed Dowitcher,17,Marsh,Insects,Ground,Least Concern,48,27,105, CHARADRIIFORMES, SCOLOPACIDAE
Short-eared Owl,51,Grassland,Mammals,Ground,Least Concern,94,38.5,340.5, STRIGIFORMES, STRIGIDAE
Smith's Longspur,16,Grassland,Insects,Ground,Least Concern,25,16,26, PASSERIFORMES, CALCARIIDAE
Smooth-billed Ani,139,Open Woodland,Omnivore,Tree,Least Concern,43,33,95, CUCULIFORMES, CUCULIDAE
Snail Kite,47,Marsh,Insects,Tree,Least Concern,104,38,465, ACCIPITRIFORMES, ACCIPITRIDAE
Snow Bunting,84,Grassland,Seeds,Ground,Least Concern,30,15,38.5, PASSERIFORMES, CALCARIIDAE
Snow Goose,42,Lake/Pond,Plants,Ground,Least Concern,138,76,2450, ANSERIFORMES, ANATIDAE
Snowy Egret,41,Marsh,Fish,Tree,Least Concern,100,61,370, PELECANIFORMES, ARDEIDAE
Snowy Owl,6,Grassland,Mammals,Ground,Least Concern,135.5,61.5,2275, STRIGIFORMES, STRIGIDAE
Snowy Plover,12,Shore-line,Insects,Ground,Least Concern,34,16,46, CHARADRIIFORMES, CHARADRIIDAE
Solitary Sandpiper,59,Marsh,Insects,Tree,Least Concern,38,21,48, CHARADRIIFORMES, SCOLOPACIDAE
Song Sparrow,417,Open Woodland,Insects,Shrub,Least Concern,21,14.5,32.5, PASSERIFORMES, EMBERIZIDAE
Sooty Grouse,12,Forest,Plants,Ground,Least Concern,61,45,1025, GALLIFORMES, PHASIANIDAE
Sora,74,Marsh,Seeds,Floating,Least Concern,30,22.5,80.5, GRUIFORMES, RALLIDAE
Spot-breasted Oriole,14,Open Woodland,Fruit,Tree,Least Concern,33,22.5,50, PASSERIFORMES, ICTERIDAE
Spotted Owl,46,Forest,Mammals,Cavity,Near Threatened,101,47.5,600, STRIGIFORMES, STRIGIDAE
Spotted Sandpiper,49,Shore-line,Small_Animals,Ground,Least Concern,38.5,19,42, CHARADRIIFORMES, SCOLOPACIDAE
Spotted Towhee,382,Scrub,Omnivore,Ground,Least Concern,28,19,41, PASSERIFORMES, EMBERIZIDAE
Sprague's Pipit,16,Grassland,Insects,Ground,Vulnerable,25,12.5,24, PASSERIFORMES, MOTACILLIDAE
Spruce Grouse,12,Forest,Plants,Ground,Least Concern,57,39.5,525, GALLIFORMES, PHASIANIDAE
Steller's Eider,3,Lake/Pond,Insects,Ground,Vulnerable,71,44,865, ANSERIFORMES, ANATIDAE
Steller's Jay,100,Forest,Omnivore,Tree,Least Concern,44,32,120, PASSERIFORMES, CORVIDAE
Stilt Sandpiper,38,Marsh,Insects,Ground,Least Concern,38,21.5,60, CHARADRIIFORMES, SCOLOPACIDAE
Summer Tanager,122,Open Woodland,Insects,Tree,Least Concern,28,17,30, PASSERIFORMES, CARDINALIDAE
Surfbird,17,Shore-line,Insects,Ground,Least Concern,66,25,181.5, CHARADRIIFORMES, SCOLOPACIDAE
Surf Scoter,11,Ocean,Insects,Ground,Least Concern,77,54,1361, ANSERIFORMES, ANATIDAE
Swainson's Hawk,7,Grassland,Mammals,Tree,Least Concern,117,52,1030, ACCIPITRIFORMES, ACCIPITRIDAE
Swainson's Thrush,285,Forest,Insects,Shrub,Least Concern,30,17.5,34, PASSERIFORMES, TURDIDAE
Swainson's Warbler,121,Forest,Insects,Shrub,Least Concern,23,13.5,15.5, PASSERIFORMES, PARULIDAE
Swallow-tailed Kite,53,Forest,Insects,Tree,Least Concern,122,57,485, ACCIPITRIFORMES, ACCIPITRIDAE
Swamp Sparrow,80,Marsh,Insects,Shrub,Least Concern,18.5,13,17.5, PASSERIFORMES, EMBERIZIDAE
Tennessee Warbler,124,Forest,Insects,Ground,Least Concern,20,11.5,10.5, PASSERIFORMES, PARULIDAE
