name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Wood Stork,16,Marsh,Fish,Tree,Least Concern,162.5,100,2345, CICONIIFORMES, CICONIIDAE
Wood Thrush,150,Forest,Insects,Tree,Least Concern,32,20,45, PASSERIFORMES, TURDIDAE
Worm-eating Warbler,81,Forest,Insects,Ground,Least Concern,22,12,13, PASSERIFORMES, PARULIDAE
Wrentit,34,Scrub,Insects,Shrub,Least Concern,18,14.5,14.5, PASSERIFORMES, SYLVIIDAE
Yellow-bellied Flycatcher,76,Forest,Insects,Ground,Least Concern,19,14,12.5, PASSERIFORMES, TYRANNIDAE
Yellow-bellied Sapsucker,47,Forest,Insects,Cavity,Least Concern,37,20,49, PICIFORMES, PICIDAE
Yellow-billed Cuckoo,64,Open Woodland,Insects,Tree,Least Concern,40.5,28,60, CUCULIFORMES, CUCULIDAE
Yellow-billed Magpie,9,Open Woodland,Omnivore,Tree,Least Concern,61,48.5,160, PASSERIFORMES, CORVIDAE
Yellow-breasted Chat,111,Scrub,Insects,Shrub,Least Concern,25,18,27, PASSERIFORMES, PARULIDAE
Yellow-crowned Night-Heron,0,Marsh,Insects,Tree,Least Concern,107,62.5,725, PELECANIFORMES, ARDEIDAE
Yellow-headed Blackbird,51,Marsh,Insects,Shrub,Least Concern,43,23.5,72, PASSERIFORMES, ICTERIDAE
Yellow Rail,27,Marsh,Insects,Ground,Least Concern,30,15.5,54.5, GRUIFORMES, RALLIDAE
Yellow-rumped Warbler,0,Forest,Insects,Tree,Least Concern,21,13,12.5, PASSERIFORMES, PARULIDAE
Yellow-throated Vireo,70,Open Woodland,Insects,Tree,Least Concern,23,14,18, PASSERIFORMES, VIREONIDAE
Yellow-throated Warbler,46,Forest,Insects,Tree,Least Concern,21,13.5,10, PASSERIFORMES, PARULIDAE
Yellow Warbler,0,Open Woodland,Insects,Shrub,Least Concern,18,12.5,10, PASSERIFORMES, PARULIDAE
Zone-tailed Hawk,15,Open Woodland,Birds,Tree,Least Concern,129.5,50.5,129.5, ACCIPITRIFORMES, ACCIPITRIDAE
